Asin,Title,Price,Sold by,Review Count,Rating,Date
B09W2G51HL,"Azeyou 11.6 Inch Laptop HD Display - Windows 10 Notebook Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC Storage- Blue",189.99,Azeyou Global,6,3.8,9 Aug. 2022
B0BNHV9R92,"EYETOO Portable Monitor, 15.6'' 19201080 FHD HD IPS Upgrade Eye Care Laptop Monitor with HDMI/Type-C/USB-C, Monitor Screen for Laptop/Xbox/Phone/PC/Mac/PS4/PS5",109.99,ZZBDMYSJAL,3,5,3 Jan. 2023
B09GKM3Z1Y,"ASUS Vivobook Pro 15 K3500PC 15.6-inch Full HD OLED Laptop (Intel Core i7-11370H, Nvidia GeForce RTX 3050, 16 GB RAM, 1TB SSD, Backlit Keyboard, Windows 11)",999.99,Amazon,8,4.5,17 Sept. 2021
B09VCGG833,"MSI Summit E14 EVO A12M, 14  Notebook, Microsoft 365 Bundled, Full HD 1.5W 100% RGB, Intel i5-1240P, Iris Xe, 16GB LPDDR5, 512GB PCIe 4x4 SSD, WiFi 6E, Windows 11 Home - Ink Black",679.15,Amazon,7,3.3,11 Mar. 2022
B09TWN5YD7,"MSI Notebook Modern 15 (B12M-026UK) 15.6 FHD, Latest Intel 12th Gen i7-1225U, Intel Iris Xe Graphics, DDR IV 8GB, 512GB NVMe PCIe SSD, Intel WIFI 6, Windows 11 Home - Classic Black",589.98,Amazon,4,2.7,4 Mar. 2022
B09XM6VPCR,"jumper Laptop Microsoft 365 11.6 Inch HD Display(Intel Pentium Quad-core,4GB DDR4 RAM,64GB eMMC,Windows 10 Compact Laptop,USB 3.0,Bluetooth 4.2) Support 1TB SSD and 256GB TF card expansion,Silver",95.39,Amazon Warehouse,76,3.9,11-Apr-22
B08FC6XNR1,"G-Anica Netbook Laptop PC 10 inch Android Portable Ultrabook,Dual Core, Wifi,with Laptop Bag + Mouse + Mouse Pad + Earphone (4 PCS Computer Accessories) (Black)",149.96,GBL Eur,216,3.1,6 Aug. 2020
B09WW2LZY2,Lenovo 300e 2nd Gen 11.6 IPS Touchscreen Convertible Laptop AMD 3015e / 1.2GHz (2.3GHz Turbo) 4GB RAM 64GB eMMC Windows 10 Pro,164.5,Edge Computers Limited,2,3.5,30 Mar. 2022
B0B75JYN91,"Lenovo T15g Gen 2 15.6 2TB SSD FHD Laptop  i7-11800H (8 Cores, 4.8GHz), RTX 3080 16GB, 32GB DDR4, Smartcard & Fingerprint Reader, WIFI 6 & BT 5.2, Windows 10 pro  UK Keyboard (Renewed)",3499.99,Amazon,0,0,20-Jul-22
B0BHH6K8CR,"Auusda Laptop 14.1 inch Windows 11 Notebook, Full HD 1920*1080 IPS 100% sRGB Display, Intel J4105 Quad-Core, 8GB LPDDR4 and 256GB SSD, USB 3.0, 5GHz WIFI, Expandable Storage",249,WoodDream,8,3.6,6 Oct. 2022
B0BLZRY5F4,"Microsoft Surface Laptop 5 Super-Thin 13.5 Inch Touchscreen Laptop - Platinum  Intel EVO 12th Gen Core i7, 16GB RAM, 512GB SSD, Windows 11 Home, UK plug, 2022 Model",1549,Amazon,0,0,10 Nov. 2022
B09VCJRF36,"MSI Prestige 14 A12UC, 14 Notebook, Microsoft 365 Bundled, Full HD close to 100% sRGB, Intel i5-1240P, Nvidia RTX3050, 8GB LPDDR4, 512GB PCIe Gen 4x4 SSD, WiFi 6E, Windows 11 - Carbon Gray",594.98,Amazon,6,3.7,11 Mar. 2022
B08Q3KQ3KM,"Intel Core i5-8250U, 16GB RAM and 512GB SSD, 13.3 Inches Tygazer Thin Touch Screen Laptop and Backlit Keyboard - Gun Metal Gray",426.19,Amazon,0,0,21 Dec. 2022
B0BQ954N9W,"Lenovo Legion 5 Gaming Laptop, 15.6 FHD IPS 120Hz, AMD 6-Core Ryzen 5 5600H (Beat i9-10980HK), GeForce RTX 3050, 16GB RAM, 1TB PCIe SSD, USB-C, HDMI, RJ45, WiFi 6, RGB, US Version KB, Win 11",874.99,uShopMall-USA,0,0,16 Dec. 2022
B08CNM2KY7,Venturer 11.6 inch windows notebook pc Black CN6811C24G,118.67,Amazon,12,4.1,9-Jul-20
B0B9NZQ6V7,"Microsoft Surface Laptop 5 Super-Thin 13.5 Inch Touchscreen Laptop - Black - Intel EVO 12th Gen Core i7, 16GB RAM, 512GB SSD, Windows 11 Home, UK plug, 2022 Model",1699,Amazon,3,3.5,12 Oct. 2022
B09TSMV3XG,"Dell Inspiron 3000 Business Laptop, 15.6 HD Display, Intel Pentium Silver N5030 Processor, Windows 11 Pro, 16GB RAM, 1TB HDD, WiFi, HDMI, Webcam, Bluetooth, SD-Card Slot",649,discount-city,71,4.1,7 Mar. 2022
